item_name,item_price,store,date,item_des,item_cat
<อร่อยซ่ากับโค้ก Set 5 พอน เดอ ริง 6 ชิ้น + โค้ก 139.->,139,Mister Donut (มิสเตอร์ โดนัท) - เทสโก้ โลตัส พระราม 1,2023-06-18 01:53,พอน เดอ ริง ไวท์ ช็อก 1 ชิ้น / พอน เดอ ริง ช็อก 1 ชิ้น / พอน เดอ ริง เกลซ 2 ชิ้น / พอน เดอ ริง สตรอเบอร์รี่ 1 ชิ้น / พอน เดอ ริง บลูเบอร์รี่ 1 ชิ้น และ โค้ก 1 กระป๋อง,โปรลับ GrabFood
<ลดสุดคุ้ม โดนัท 6 ฟรี 6>,186,Mister Donut (มิสเตอร์ โดนัท) - เทสโก้ โลตัส พระราม 1,2023-06-18 01:53,ช็อกโกแลต ริง 4 ชิ้น / สตรอเบอร์รี่ ริง 4 ชิ้น / ฮันนี่ ดิป 2 ชิ้น / บาวาเรียน เชลล์ 1 ชิ้น / สตรอเบอร์รี่ เชลล์ 1 ชิ้น,โปรลับ GrabFood
<ลดสุดคุ้ม โดนัทยีสต์ 8 ชิ้น 124.->,124,Mister Donut (มิสเตอร์ โดนัท) - เทสโก้ โลตัส พระราม 1,2023-06-18 01:53,ช็อกโกแลต ริง 2 ชิ้น / สตรอเบอร์รี่ ริง 2 ชิ้น / ฮันนี่ ดิป 2 ชิ้น / บาวาเรียน เชลล์ 1 ชิ้น / สตรอเบอร์รี่ เชลล์ 1 ชิ้น,โปรลับ GrabFood
<ลดสุดคุ้ม พอน เดอ ริง 6 ชิ้น 109.->,109,Mister Donut (มิสเตอร์ โดนัท) - เทสโก้ โลตัส พระราม 1,2023-06-18 01:53,พอน เดอ ริง ไวท์ ช็อก 1 ชิ้น / พอน เดอ ริง ช็อก 1 ชิ้น / พอน เดอ ริง เกลซ 2 ชิ้น / พอน เดอ ริง สตรอเบอร์รี่ 1 ชิ้น / พอน เดอ ริง บลูเบอร์รี่ 1 ชิ้น,โปรลับ GrabFood
<ช็อกไม่ช็อก! โดนัทช็อกโกแลต 4 ชิ้น 99.->,99,Mister Donut (มิสเตอร์ โดนัท) - เทสโก้ โลตัส พระราม 1,2023-06-18 01:53,พอน เดอ ริง ช็อก 2 ชิ้น / ช็อกโกแลต ริง 2 ชิ้น,โปรลับ GrabFood
<ลดสุดคุ้ม โดนัทยีสต์ 4 ชิ้น 79.->,79,Mister Donut (มิสเตอร์ โดนัท) - เทสโก้ โลตัส พระราม 1,2023-06-18 01:53,เลือกโดนัท 4 ชิ้นจาก ช็อกโกแลต ริง / สตรอเบอร์รี่ ริง / ฮันนี่ ดิป / บาวาเรียน เชลล์ / สตรอเบอร์รี่ เชลล์ / บลูเบอร์รี่ เชลล์,โปรลับ GrabFood
Surprise Box กล่องเล็ก เพียง 93.- จากปกติ 186.-,93,Mister Donut (มิสเตอร์ โดนัท) - เทสโก้ โลตัส พระราม 1,2023-06-18 01:53,โดนัทที่ร่วมรายการได้แก่ โดนัท ชิ้นละ 31.- 6 ชิ้น คละรสชาติ,กล่องสุ่ม!!!
Surprise Box กล่องเล็ก เพียง 155.- จากปกติ 310.-,155,Mister Donut (มิสเตอร์ โดนัท) - เทสโก้ โลตัส พระราม 1,2023-06-18 01:53,โดนัทที่ร่วมรายการได้แก่ โดนัท ชิ้นละ 31.- 10 ชิ้น คละรสชาติ,กล่องสุ่ม!!!
ซื้อโดนัทยีสต์ 1 ชิ้น พิเศษ 19.- (ปกติ 31.-) มอบให้กับพี่ไรเดอร์^^,19,Mister Donut (มิสเตอร์ โดนัท) - เทสโก้ โลตัส พระราม 1,2023-06-18 01:53,เมนูพิเศษแทนคำขอบคุณจากลูกค้าถึงพี่ๆคนขับ^^,ให้พี่ๆคนขับจ้า
<แก้วมิสเตอร์โดนัท Snoopy V.2 และ โดนัทยีสต์ 5 ชิ้น>,229,Mister Donut (มิสเตอร์ โดนัท) - เทสโก้ โลตัส พระราม 1,2023-06-18 01:53,ช็อกโกแลต ริง 1 ชิ้น / สตรอเบอร์รี่ ริง 1 ชิ้น / ฮันนี่ ดิป 1 ชิ้น / บาวาเรียน เชลล์ 1 ชิ้น / สตอเบอร์รี่ เชลล์ 1 ชิ้น,Snoopy V.2
แก้วมิสเตอร์โดนัท Snoopy V.2 สีชมพู,159,Mister Donut (มิสเตอร์ โดนัท) - เทสโก้ โลตัส พระราม 1,2023-06-18 01:53,แก้วเปล่าราคาไม่รวมเครื่องดื่ม,Snoopy V.2
แก้วมิสเตอร์โดนัท Snoopy V.2 สีน้ำเงิน,159,Mister Donut (มิสเตอร์ โดนัท) - เทสโก้ โลตัส พระราม 1,2023-06-18 01:53,แก้วเปล่าราคาไม่รวมเครื่องดื่ม,Snoopy V.2
แก้วมิสเตอร์โดนัท Snoopy V.2 สีเขียว,159,Mister Donut (มิสเตอร์ โดนัท) - เทสโก้ โลตัส พระราม 1,2023-06-18 01:53,แก้วเปล่าราคาไม่รวมเครื่องดื่ม,Snoopy V.2
แก้วมิสเตอร์โดนัท Snoopy V.2 สีเทา,159,Mister Donut (มิสเตอร์ โดนัท) - เทสโก้ โลตัส พระราม 1,2023-06-18 01:53,แก้วเปล่าราคาไม่รวมเครื่องดื่ม,Snoopy V.2
แก้วมิสเตอร์โดนัท Snoopy V.2 สีเหลือง,159,Mister Donut (มิสเตอร์ โดนัท) - เทสโก้ โลตัส พระราม 1,2023-06-18 01:53,แก้วเปล่าราคาไม่รวมเครื่องดื่ม,Snoopy V.2
โค้ก ออริจินัล 1 กระป๋อง ขนาด 325 ml.,29,Mister Donut (มิสเตอร์ โดนัท) - เทสโก้ โลตัส พระราม 1,2023-06-18 01:53,,Soft Drink
<โดนัทซูเปอร์ แบล็ก ช็อกโก 6 ชิ้น เพียง 169.->,169,Mister Donut (มิสเตอร์ โดนัท) - เทสโก้ โลตัส พระราม 1,2023-06-18 01:53,อัลมอนด์ ดับเบิ้ลช็อก 1 ชิ้น / ช็อกโก คาราเมล 1 ชิ้น / ทอฟฟี่ พีนัท 1 ชิ้น / ช็อกโก อัลมอนด์ 1 ชิ้น / ช็อกโก มิกซ์นัท 1 ชิ้น / ช็อกโกลาเต้ 1 ชิ้น,Super Choco
อัลมอนด์ ดับเบิ้ลช็อก,33,Mister Donut (มิสเตอร์ โดนัท) - เทสโก้ โลตัส พระราม 1,2023-06-18 01:53,,Super Choco
ทอฟฟี่ พีนัท,33,Mister Donut (มิสเตอร์ โดนัท) - เทสโก้ โลตัส พระราม 1,2023-06-18 01:53,,Super Choco
ช็อกโก คาราเมล,33,Mister Donut (มิสเตอร์ โดนัท) - เทสโก้ โลตัส พระราม 1,2023-06-18 01:53,,Super Choco
ช็อกโก มิกซ์นัท,33,Mister Donut (มิสเตอร์ โดนัท) - เทสโก้ โลตัส พระราม 1,2023-06-18 01:53,,Super Choco
ช็อกโก อัลมอนด์,33,Mister Donut (มิสเตอร์ โดนัท) - เทสโก้ โลตัส พระราม 1,2023-06-18 01:53,,Super Choco
ช็อกโกลาเต้,33,Mister Donut (มิสเตอร์ โดนัท) - เทสโก้ โลตัส พระราม 1,2023-06-18 01:53,,Super Choco
<แก้วมิสเตอร์โดนัท Snoopy และ โดนัทยีสต์ 5 ชิ้น>,229,Mister Donut (มิสเตอร์ โดนัท) - เทสโก้ โลตัส พระราม 1,2023-06-18 01:53,ช็อกโกแลต ริง 1 ชิ้น / สตรอเบอร์รี่ ริง 1 ชิ้น / ฮันนี่ ดิป 1 ชิ้น / บาวาเรียน เชลล์ 1 ชิ้น / สตอเบอร์รี่ เชลล์ 1 ชิ้น,Premium Snoopy
แก้วมิสเตอร์โดนัท Snoopy สีแดง,159,Mister Donut (มิสเตอร์ โดนัท) - เทสโก้ โลตัส พระราม 1,2023-06-18 01:53,แก้วเปล่าราคาไม่รวมเครื่องดื่ม,Premium Snoopy
แก้วมิสเตอร์โดนัท Snoopy สีเทา,159,Mister Donut (มิสเตอร์ โดนัท) - เทสโก้ โลตัส พระราม 1,2023-06-18 01:53,แก้วเปล่าราคาไม่รวมเครื่องดื่ม,Premium Snoopy
แก้วมิสเตอร์โดนัท Snoopy สีฟ้า,159,Mister Donut (มิสเตอร์ โดนัท) - เทสโก้ โลตัส พระราม 1,2023-06-18 01:53,แก้วเปล่าราคาไม่รวมเครื่องดื่ม,Premium Snoopy
แก้วมิสเตอร์โดนัท Snoopy สีเหลือง,159,Mister Donut (มิสเตอร์ โดนัท) - เทสโก้ โลตัส พระราม 1,2023-06-18 01:53,แก้วเปล่าราคาไม่รวมเครื่องดื่ม,Premium Snoopy
<ปาร์ตี้โดนัท 8 ฟรี 8>,248,Mister Donut (มิสเตอร์ โดนัท) - เทสโก้ โลตัส พระราม 1,2023-06-18 01:53,พอน เดอ ริง ไวท์ ช็อก 2 ชิ้น / พอน เดอ ริง ช็อก 2 ชิ้น / พอน เดอ ริง สตรอเบอร์รี่ 2 ชิ้น / พอน เดอ ริง บลูเบอร์รี่ 2 ชิ้น / ช็อกโกแลต ริง 2 ชิ้น / สตรอเบอร์รี่ ริง 2 ชิ้น / ฮันนี่ ดิป 2 ชิ้น / บาวาเรียน เชลล์ 2 ชิ้น,ปาร์ตี้สุดฟิน
<ปาร์ตี้โดนัท 12 ชิ้น 199.->,199,Mister Donut (มิสเตอร์ โดนัท) - เทสโก้ โลตัส พระราม 1,2023-06-18 01:53,ช็อกโกแลต ริง 2 ชิ้น / สตรอเบอร์รี่ ริง 2 ชิ้น / ฮันนี่ ดิป 2 ชิ้น / บาวาเรียน เชลล์ 2 ชิ้น / สตรอเบอร์รี่ เชลล์ 2 ชิ้น / บลูเบอร์รี่ เชลล์ 2 ชิ้น,ปาร์ตี้สุดฟิน
<Let’s get to the Party Set 1 159.->,159,Mister Donut (มิสเตอร์ โดนัท) - เทสโก้ โลตัส พระราม 1,2023-06-18 01:53,พอน เดอ ริง ไวท์ ช็อก 2 ชิ้น / พอน เดอ ริง ช็อก 2 ชิ้น / พอน เดอ ริง เกลซ 2 ชิ้น / พอน เดอ ริง สตรอเบอร์รี่ 1 ชิ้น / พอน เดอ ริง บลูเบอร์รี่ 1 ชิ้น,ปาร์ตี้สุดฟิน
<Let’s get to the Party Set 2 179.->,179,Mister Donut (มิสเตอร์ โดนัท) - เทสโก้ โลตัส พระราม 1,2023-06-18 01:53,ช็อกโกแลต ริง 2 ชิ้น / สตรอเบอร์รี่ ริง 1 ชิ้น / ฮันนี่ ดิป 1 ชิ้น / บาวาเรียน เชลล์ 1 ชิ้น / พอน เดอ ริง ไวท์ ช็อก 1 ชิ้น / พอน เดอ ริง ช็อก 1 ชิ้น / พอน เดอ ริง เกลซ 1 ชิ้น / พอน เดอ ริง สตรอเบอร์รี่ 1 ชิ้น / พอน เดอ ริง บลูเบอร์รี่ 1 ชิ้น,ปาร์ตี้สุดฟิน
